Feature,Importance
AwayCopaCongestion,0.0
HomeCopaCongestion,0.0
AwayGoals_Avg_L5,0.027581837
HomeRestDays,0.028015554
HomeVenueConceded_Avg_L5,0.028605381
HomeVenueWinRate_L10,0.028609682
AwayVenueGoals_Avg_L5,0.02871285
AwayMomentum_L3,0.028993836
AwayVenueConceded_Avg_L5,0.029117003
HomeConceded_Avg_L5,0.029153466
AwayShots_Avg_L5,0.0291862
AwayRestDays,0.029713176
AwayConceded_Avg_L5,0.029936925
HomeMomentum_L3,0.029995998
HomeSOT_Avg_L5,0.030254852
HomeVenueGoals_Avg_L5,0.030298326
HomeGoals_Avg_L5,0.030519417
HomeShots_Avg_L5,0.030544363
AwayWinRate_L10,0.030779254
AwaySOT_Avg_L5,0.030954096
HomeElo,0.030979505
AwayElo,0.031155903
AwayVenueWinRate_L10,0.03215629
HomeWinRate_L10,0.032467782
EloDiff,0.032820594
ImpliedProb_Draw,0.036460914
MarketEntropy,0.039157882
MarketHomeEdge,0.0500761
ImpliedProb_AwayWin,0.057040766
ImpliedProb_HomeWin,0.059820503
MarketAwayEdge,0.066891685
