Season,SeasonStart,#,Team,Played,W,D,L,GF,GA,GD,Pts,Form
2015-16,2015-08-01,1,Paris SG,395,288,60,47,985,335,650,924,🟢 🟡 🟢 🟢 🔴
2015-16,2015-08-01,2,Monaco,396,207,89,100,733,504,229,710,🟡 🟡 🟢 🔴 🔴
2015-16,2015-08-01,3,Lyon,396,203,83,110,725,490,235,692,🟢 🟢 🟢 🔴 🔴
2015-16,2015-08-01,4,Marseille,396,193,103,100,659,469,190,682,🔴 🟡 🔴 🟢 🟢
2015-16,2015-08-01,5,Lille,396,183,104,109,556,423,133,653,🟡 🟢 🟡 🟢 🔴
2015-16,2015-08-01,6,Nice,396,170,106,120,538,458,80,616,🟡 🟡 🟡 🔴 🟡
2015-16,2015-08-01,7,Rennes,396,168,96,132,597,481,116,600,🟢 🟢 🔴 🟢 🔴
2015-16,2015-08-01,8,Nantes,396,117,109,170,422,535,-113,460,🔴 🔴 🟢 🔴 🟡
2015-16,2015-08-01,9,Montpellier,362,116,95,151,461,534,-73,443,🔴 🟡 🔴 🔴 🔴
2015-16,2015-08-01,10,Strasbourg,319,109,92,118,446,448,-2,419,🟢 🔴 🟡 🟢 🟢
2015-16,2015-08-01,11,Angers,362,101,94,167,372,516,-144,397,🟡 🔴 🔴 🟡 🟡
2015-16,2015-08-01,12,Lens,216,108,52,56,338,242,96,376,🟡 🟡 🟢 🔴 🟢
2015-16,2015-08-01,13,St Etienne,290,98,73,119,341,423,-82,367,🟢 🔴 🔴 🟢 🔴
2015-16,2015-08-01,14,Reims,286,86,96,104,314,353,-39,354,🟢 🟡 🔴 🔴 🔴
2015-16,2015-08-01,15,Toulouse,320,86,92,142,361,457,-96,350,🔴 🟡 🟢 🟢 🟡
2015-16,2015-08-01,16,Bordeaux,256,81,75,100,324,371,-47,318,🔴 🔴 🔴 🟡 🟢
2015-16,2015-08-01,17,Brest,244,85,62,97,325,362,-37,317,🟡 🔴 🔴 🔴 🟡
2015-16,2015-08-01,18,Lorient,258,73,70,115,319,429,-110,289,🟢 🔴 🟡 🟢 🔴
2015-16,2015-08-01,19,Metz,248,54,65,129,246,434,-188,227,🔴 🟡 🔴 🔴 🟡
2015-16,2015-08-01,20,Dijon,180,41,47,92,184,301,-117,170,🔴 🔴 🔴 🔴 🟢
2015-16,2015-08-01,21,Guingamp,152,42,42,68,169,236,-67,168,🔴 🟡 🟡 🟡 🔴
2015-16,2015-08-01,22,Caen,152,43,33,76,131,223,-92,162,🟢 🟡 🟢 🔴 🔴
2015-16,2015-08-01,23,Clermont,110,31,27,52,109,178,-69,120,🔴 🟢 🔴 🔴 🔴
