#,Team,Form,Pts (L5)
1,Auxerre,DLWWW,10
2,Paris SG,WDWWL,10
3,Strasbourg,WLDWW,10
4,Rennes,WWLWL,9
5,Lyon,WWWLL,9
6,Paris FC,WLWLW,9
7,Lens,DDWLW,8
8,Lille,DWDWL,8
9,Lorient,WLDWL,7
10,Toulouse,LLDWW,7
11,Caen,WDWLL,7
12,Marseille,LDLWW,7
13,Bastia,LWLWL,6
14,Le Havre,DDDLW,6
15,St Etienne,WLLWL,6
16,Monaco,DDWLL,5
17,Ajaccio,DLLLW,4
18,Nancy,DLLLW,4
19,Nantes,DLLWL,4
20,Nimes,LDWLL,4
21,Nice,DDDLD,4
22,Reims,WDLLL,4
23,Bordeaux,LLLDW,4
24,Ajaccio GFCO,LWLLL,3
25,Amiens,LDDLD,3
26,Angers,DLLDD,3
27,Dijon,LLLLW,3
28,Guingamp,LDDDL,3
29,Clermont,LWLLL,3
30,Brest,DLLLD,2
31,Metz,LDLLD,2
32,Troyes,LLDLD,2
33,Montpellier,LDLLL,1
