Div,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWinOdds,Bet365_DrawOdds,Bet365_AwayWinOdds,BW_HomeWinOdds,BW_DrawOdds,BW_AwayWinOdds,Pinnacle_HomeWinOdds,Pinnacle_DrawOdds,Pinnacle_AwayWinOdds,Pinnacle_CloseHomeWinOdds,Pinnacle_CloseDrawOdds,Pinnacle_CloseAwayWinOdds,Season
F1,2017-08-04,Monaco,Toulouse,3,2,H,1,1,D,17,6,7,3,12,23,8,2,1,3,0,0,1.3,5.5,10.0,1.3,5.75,9.75,1.32,5.72,11.12,1.29,5.9,12.75,2017-18
F1,2017-08-05,Lyon,Strasbourg,4,0,H,1,0,H,12,7,7,1,11,16,3,4,2,3,0,0,1.36,5.0,8.5,1.36,5.0,8.5,1.4,5.19,8.99,1.34,5.55,10.35,2017-18
F1,2017-08-05,Metz,Guingamp,1,3,A,1,1,D,6,13,4,5,9,13,3,3,1,2,0,0,2.8,3.2,2.63,2.8,3.2,2.65,2.95,3.2,2.71,3.01,3.35,2.54,2017-18
F1,2017-08-05,Montpellier,Caen,1,0,H,0,0,D,10,8,2,1,9,11,9,3,2,1,0,0,1.91,3.5,4.2,1.83,3.6,4.5,1.88,3.54,4.74,1.83,3.69,4.92,2017-18
F1,2017-08-05,Paris SG,Amiens,2,0,H,1,0,H,16,7,5,1,9,12,8,3,0,1,0,0,1.11,9.0,25.0,1.12,9.25,21.0,1.13,10.7,26.0,1.09,13.0,36.5,2017-18
F1,2017-08-05,St Etienne,Nice,1,0,H,1,0,H,8,6,3,2,11,8,2,7,2,1,0,0,2.2,3.2,3.5,2.25,3.2,3.4,2.28,3.17,3.69,2.46,3.23,3.29,2017-18
F1,2017-08-05,Troyes,Rennes,1,1,D,0,0,D,11,16,4,4,13,8,6,7,1,0,0,0,2.6,3.1,2.9,2.7,3.2,2.75,2.8,3.16,2.9,3.08,3.16,2.6,2017-18
F1,2017-08-06,Angers,Bordeaux,2,2,D,1,1,D,9,7,5,4,16,15,0,5,3,2,0,0,2.5,3.1,3.1,2.55,3.1,2.95,2.63,3.06,3.14,2.5,3.14,3.31,2017-18
F1,2017-08-06,Lille,Nantes,3,0,H,0,0,D,14,9,5,4,11,17,15,3,2,3,0,0,2.0,3.2,4.1,2.05,3.25,4.0,2.09,3.29,4.2,2.15,3.27,4.01,2017-18
F1,2017-08-06,Marseille,Dijon,3,0,H,0,0,D,18,12,5,1,7,10,7,3,1,0,0,0,1.4,4.75,8.0,1.4,4.75,8.0,1.4,5.19,8.88,1.31,5.8,11.5,2017-18
F1,2017-08-11,Nice,Troyes,1,2,A,0,0,D,20,10,6,4,11,8,10,4,2,3,0,0,1.53,4.0,7.0,1.53,4.1,6.75,1.53,4.5,6.95,1.52,4.51,7.06,2017-18
F1,2017-08-11,Rennes,Lyon,1,2,A,0,0,D,17,17,5,8,9,16,14,2,1,3,0,0,3.6,3.5,2.0,3.75,3.5,2.0,3.69,3.68,2.09,3.64,3.63,2.12,2017-18
F1,2017-08-12,Amiens,Angers,0,2,A,0,1,A,10,12,1,6,8,18,5,5,3,2,0,0,2.9,3.1,2.63,2.9,2.95,2.75,3.04,3.12,2.66,3.31,3.14,2.51,2017-18
F1,2017-08-12,Bordeaux,Metz,2,0,H,1,0,H,12,6,5,1,17,10,5,1,1,2,0,0,1.44,4.2,8.5,1.45,4.4,7.5,1.46,4.6,8.15,1.44,5.05,7.76,2017-18
F1,2017-08-12,Caen,St Etienne,0,1,A,0,0,D,10,6,4,4,12,15,8,2,1,1,0,0,3.0,3.1,2.5,2.85,3.2,2.6,3.08,3.08,2.66,3.01,3.24,2.64,2017-18
F1,2017-08-12,Nantes,Marseille,0,1,A,0,0,D,14,13,3,10,13,12,6,9,1,3,0,0,3.5,3.4,2.15,3.6,3.4,2.1,3.46,3.43,2.25,3.17,3.3,2.49,2017-18
F1,2017-08-12,Toulouse,Montpellier,1,0,H,1,0,H,8,14,4,1,25,12,5,3,4,3,0,0,2.2,3.2,3.5,2.2,3.25,3.5,2.28,3.13,3.74,2.38,3.19,3.5,2017-18
F1,2017-08-13,Dijon,Monaco,1,4,A,1,3,A,15,16,3,6,10,12,6,10,0,2,0,0,7.0,4.2,1.5,6.5,4.33,1.5,6.62,4.4,1.55,7.05,4.67,1.51,2017-18
F1,2017-08-13,Guingamp,Paris SG,0,3,A,0,0,D,4,21,0,8,9,13,4,6,2,2,0,0,15.0,6.0,1.22,12.0,5.75,1.26,12.75,6.0,1.28,14.55,6.55,1.25,2017-18
F1,2017-08-13,Strasbourg,Lille,3,0,H,0,0,D,22,12,9,2,8,13,7,5,1,2,0,1,3.75,3.3,2.1,3.6,3.25,2.15,3.65,3.44,2.17,3.7,3.59,2.12,2017-18
F1,2017-08-18,Metz,Monaco,0,1,A,0,0,D,9,22,5,5,17,16,6,6,2,1,0,0,10.0,5.0,1.3,9.5,5.25,1.33,10.3,5.93,1.33,9.21,5.73,1.36,2017-18
F1,2017-08-19,Lyon,Bordeaux,3,3,D,2,1,H,8,16,5,6,20,16,0,8,2,2,1,0,1.57,4.33,5.5,1.6,4.0,5.75,1.67,4.25,5.27,1.68,4.2,5.31,2017-18
F1,2017-08-19,Montpellier,Strasbourg,1,1,D,0,1,A,16,7,5,1,6,18,9,2,2,3,0,0,1.85,3.5,4.5,1.87,3.5,4.33,1.86,3.74,4.51,2.03,3.36,4.33,2017-18
F1,2017-08-19,Nice,Guingamp,2,0,H,1,0,H,14,13,8,1,12,15,4,5,2,2,0,0,2.0,3.3,4.0,1.95,3.3,4.25,2.07,3.22,4.3,1.86,3.64,4.82,2017-18
F1,2017-08-19,Rennes,Dijon,2,2,D,1,0,H,14,12,7,4,9,13,7,0,2,4,0,0,1.6,3.9,6.0,1.62,3.8,6.0,1.61,4.04,6.41,1.78,3.83,5.11,2017-18
F1,2017-08-19,St Etienne,Amiens,3,0,H,2,0,H,13,16,5,1,11,12,3,11,2,2,0,0,1.53,4.0,7.0,1.5,3.9,7.75,1.57,4.01,7.16,1.62,3.76,7.36,2017-18
F1,2017-08-19,Troyes,Nantes,0,1,A,0,0,D,8,11,1,4,7,8,2,10,1,0,0,1,2.5,3.1,3.1,2.55,3.2,2.9,2.6,3.23,3.02,2.61,3.25,3.04,2017-18
F1,2017-08-20,Lille,Caen,0,2,A,0,1,A,15,11,4,3,9,12,5,3,2,2,0,0,1.6,3.8,6.0,1.62,4.0,5.5,1.66,4.0,5.79,1.76,3.89,5.16,2017-18
