Div,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWinOdds,Bet365_DrawOdds,Bet365_AwayWinOdds,BW_HomeWinOdds,BW_DrawOdds,BW_AwayWinOdds,Pinnacle_HomeWinOdds,Pinnacle_DrawOdds,Pinnacle_AwayWinOdds,Bet365_CloseHomeWinOdds,Bet365_CloseDrawOdds,Bet365_CloseAwayWinOdds,Pinnacle_CloseHomeWinOdds,Pinnacle_CloseDrawOdds,Pinnacle_CloseAwayWinOdds,Season
F1,2020-08-21,Bordeaux,Nantes,0,0,D,0,0,D,5,6,1,1,10,15,2,3,2,3,1,0,2.4,3.0,3.25,2.4,3.0,3.3,2.48,3.03,3.33,2.62,2.87,3.1,2.71,2.97,3.02,2020-21
F1,2020-08-22,Dijon,Angers,0,1,A,0,1,A,9,12,1,4,15,8,3,9,0,0,0,0,2.7,3.1,2.8,2.75,3.0,2.8,2.79,3.09,2.84,3.25,3.1,2.35,3.36,3.07,2.44,2020-21
F1,2020-08-22,Lille,Rennes,1,1,D,1,0,H,5,16,1,3,12,16,4,2,0,1,1,1,2.3,3.2,3.3,2.3,3.2,3.3,2.3,3.22,3.47,1.85,3.4,4.2,1.92,3.47,4.52,2020-21
F1,2020-08-23,Monaco,Reims,2,2,D,1,2,A,22,9,5,3,8,14,8,1,1,3,0,0,1.9,3.4,4.33,1.91,3.5,4.2,1.95,3.53,4.24,1.85,3.4,4.33,1.95,3.43,4.42,2020-21
F1,2020-08-23,Lorient,Strasbourg,3,1,H,0,1,A,10,7,7,1,17,10,6,1,3,2,0,0,2.5,3.2,3.0,2.6,3.2,2.85,2.62,3.19,2.96,2.4,3.1,3.1,2.45,3.15,3.25,2020-21
F1,2020-08-23,Nimes,Brest,4,0,H,2,0,H,12,10,5,3,14,17,4,4,2,3,0,1,2.3,3.2,3.3,2.25,3.3,3.3,2.29,3.39,3.32,2.25,3.2,3.4,2.35,3.38,3.2,2020-21
F1,2020-08-23,Nice,Lens,2,1,H,1,1,D,4,17,2,4,17,18,1,7,2,3,0,0,2.0,3.3,4.0,1.95,3.5,3.9,2.05,3.36,4.06,2.0,3.3,3.9,2.02,3.38,4.16,2020-21
F1,2020-08-28,Lyon,Dijon,4,1,H,3,1,H,27,6,12,2,12,7,13,2,3,3,0,0,1.28,5.75,9.0,1.3,5.5,10.0,1.31,5.68,10.21,1.25,5.5,12.0,1.25,6.32,13.01,2020-21
F1,2020-08-29,Rennes,Montpellier,2,1,H,1,0,H,16,11,7,3,18,16,2,1,3,2,1,1,2.0,3.3,3.8,2.0,3.3,4.0,2.07,3.31,3.97,1.8,3.5,4.5,1.86,3.55,4.59,2020-21
F1,2020-08-29,Strasbourg,Nice,0,2,A,0,1,A,6,3,0,2,14,11,3,1,2,6,0,0,2.2,3.3,3.3,2.25,3.3,3.3,2.28,3.35,3.32,2.05,3.5,3.5,2.09,3.39,3.78,2020-21
F1,2020-08-30,Reims,Lille,0,1,A,0,1,A,4,10,0,3,20,11,1,2,4,1,0,0,3.0,3.1,2.45,3.1,3.0,2.55,3.07,2.99,2.64,3.1,2.9,2.6,3.21,2.89,2.63,2020-21
F1,2020-08-30,Angers,Bordeaux,0,2,A,0,2,A,12,7,2,7,12,19,5,7,1,3,0,0,2.25,3.1,3.4,2.25,3.1,3.5,2.32,3.13,3.47,2.2,3.0,3.75,2.25,3.05,3.78,2020-21
F1,2020-08-30,Metz,Monaco,0,1,A,0,1,A,14,3,4,2,14,20,10,1,0,5,0,1,3.75,3.4,2.0,3.75,3.5,2.0,3.81,3.61,2.02,4.0,3.6,1.9,3.99,3.74,1.93,2020-21
F1,2020-08-30,Nantes,Nimes,2,1,H,2,0,H,8,17,5,9,16,9,4,8,3,2,2,0,1.95,3.2,4.2,1.91,3.3,4.5,1.99,3.27,4.42,1.83,3.4,4.75,1.93,3.36,4.58,2020-21
F1,2020-08-30,St Etienne,Lorient,2,0,H,1,0,H,13,6,5,1,14,23,2,5,2,1,0,0,2.2,3.2,3.4,2.3,3.2,3.3,2.3,3.28,3.35,2.3,3.2,3.3,2.31,3.24,3.37,2020-21
F1,2020-08-30,Brest,Marseille,2,3,A,1,2,A,19,7,4,4,17,13,10,2,2,4,0,0,3.0,3.5,2.0,,,,,,,3.5,3.2,2.2,3.67,3.26,2.23,2020-21
F1,2020-09-10,Lens,Paris SG,1,0,H,0,0,D,7,8,3,1,21,10,4,2,2,2,0,0,5.0,4.0,1.65,5.0,4.0,1.65,4.7,3.99,1.71,4.2,3.8,1.75,4.79,3.6,1.8,2020-21
F1,2020-09-11,Bordeaux,Lyon,0,0,D,0,0,D,5,20,0,3,12,19,4,5,2,3,0,0,4.5,3.6,1.83,4.5,3.6,1.83,4.5,3.61,1.88,4.0,3.5,1.9,4.1,3.49,2.01,2020-21
F1,2020-09-12,Montpellier,Nice,3,1,H,1,0,H,20,9,13,1,17,16,8,9,0,2,0,0,2.2,3.3,3.4,2.2,3.25,3.5,2.25,3.35,3.52,2.0,3.3,3.75,2.11,3.41,3.91,2020-21
F1,2020-09-12,St Etienne,Strasbourg,2,0,H,0,0,D,10,14,4,7,13,19,6,3,1,3,0,0,2.2,3.2,3.5,2.15,3.25,3.6,2.19,3.35,3.65,2.1,3.2,3.75,2.17,3.33,3.81,2020-21
F1,2020-09-13,Lille,Metz,1,0,H,0,0,D,16,5,6,1,12,14,8,3,4,4,0,0,1.53,3.75,7.5,1.55,3.8,7.0,1.56,3.97,7.09,1.55,3.75,7.0,1.57,3.79,8.06,2020-21
F1,2020-09-13,Angers,Reims,1,0,H,0,0,D,20,7,7,2,12,12,1,2,4,2,1,1,2.37,3.0,3.4,2.3,3.0,3.5,2.42,3.06,3.47,2.0,3.0,4.33,2.19,3.08,4.13,2020-21
F1,2020-09-13,Dijon,Brest,0,2,A,0,1,A,7,19,3,5,16,16,5,7,2,0,1,0,2.4,3.3,3.0,2.5,3.2,3.0,2.59,3.22,3.03,2.87,3.25,2.5,2.79,3.38,2.72,2020-21
F1,2020-09-13,Lorient,Lens,2,3,A,1,2,A,6,12,3,6,20,16,4,2,4,3,0,1,2.1,3.3,3.75,2.15,3.3,3.6,2.2,3.41,3.57,2.2,3.3,3.3,2.31,3.2,3.61,2020-21
F1,2020-09-13,Nimes,Rennes,2,4,A,1,2,A,17,10,9,6,17,13,8,4,2,6,0,0,3.3,3.3,2.25,3.3,3.2,2.3,3.43,3.35,2.28,3.4,3.2,2.25,3.33,3.3,2.39,2020-21
F1,2020-09-13,Monaco,Nantes,2,1,H,1,0,H,18,7,5,2,14,11,9,4,3,1,0,0,1.9,3.6,4.0,1.95,3.6,3.9,1.95,3.64,4.13,1.83,3.75,4.33,1.88,3.6,4.69,2020-21
F1,2020-09-13,Paris SG,Marseille,0,1,A,0,1,A,14,5,4,2,17,19,4,2,6,8,3,2,,,,1.5,5.0,5.5,,,,1.36,5.0,7.5,1.41,5.51,7.39,2020-21
F1,2020-09-15,Montpellier,Lyon,2,1,H,1,0,H,10,19,3,7,13,13,4,11,3,2,1,1,3.8,3.3,2.05,3.8,3.4,2.05,3.96,3.52,2.06,3.5,3.6,2.05,3.57,3.62,2.14,2020-21
F1,2020-09-16,Paris SG,Metz,1,0,H,0,0,D,20,7,8,1,8,6,8,2,3,2,1,0,1.25,7.0,9.0,1.28,6.75,8.5,1.27,6.31,8.34,1.22,5.25,12.0,1.27,6.21,13.34,2020-21
F1,2020-09-17,Marseille,St Etienne,0,2,A,0,1,A,13,12,2,5,13,15,7,6,2,2,0,0,2.0,3.3,4.0,1.95,3.4,4.1,2.04,3.42,4.02,1.8,3.5,4.75,1.86,3.51,4.93,2020-21
