MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWinOdds,Bet365_DrawOdds,Bet365_AwayWinOdds,BW_HomeWinOdds,BW_DrawOdds,BW_AwayWinOdds,Pinnacle_HomeWinOdds,Pinnacle_DrawOdds,Pinnacle_AwayWinOdds,Bet365_CloseHomeWinOdds,Bet365_CloseDrawOdds,Bet365_CloseAwayWinOdds,Pinnacle_CloseHomeWinOdds,Pinnacle_CloseDrawOdds,Pinnacle_CloseAwayWinOdds,Season
2024-08-16,Le Havre,Paris SG,1,4,A,0,1,A,5,14,2,9,9,9,2,8,3,0,0,0,7.0,4.75,1.42,6.75,4.8,1.43,7.84,4.94,1.42,7.0,4.75,1.42,7.8,4.76,1.43,2024-25
2024-08-17,Brest,Marseille,1,5,A,1,3,A,7,7,5,5,10,8,5,0,4,1,0,0,3.0,3.3,2.4,2.8,3.4,2.45,2.96,3.37,2.51,3.25,3.2,2.3,3.3,3.34,2.35,2024-25
2024-08-17,Reims,Lille,0,2,A,0,1,A,2,21,0,6,6,13,0,8,2,2,1,0,3.3,3.4,2.2,3.3,3.4,2.15,3.36,3.38,2.27,3.0,3.2,2.45,3.03,3.26,2.56,2024-25
2024-08-17,Monaco,St Etienne,1,0,H,1,0,H,13,7,6,4,13,14,5,4,1,1,0,0,1.48,4.5,6.25,1.52,4.4,5.75,1.51,4.64,6.26,1.36,5.25,7.5,1.38,5.55,7.85,2024-25
2024-08-18,Auxerre,Nice,2,1,H,1,1,D,16,9,7,2,11,17,3,5,0,0,0,0,3.1,3.25,2.35,3.1,3.2,2.35,3.22,3.18,2.45,2.88,3.4,2.4,3.0,3.47,2.46,2024-25
2024-08-18,Angers,Lens,0,1,A,0,1,A,4,10,3,5,6,10,7,3,1,0,0,0,5.75,3.8,1.62,5.0,3.9,1.66,5.66,3.96,1.65,7.0,3.75,1.55,6.84,4.04,1.57,2024-25
2024-08-18,Montpellier,Strasbourg,1,1,D,0,0,D,7,11,5,4,20,18,6,4,4,3,0,0,2.0,3.3,3.75,2.1,3.3,3.6,2.12,3.35,3.8,2.0,3.5,3.5,2.1,3.63,3.6,2024-25
2024-08-18,Toulouse,Nantes,0,0,D,0,0,D,7,6,3,2,10,8,10,5,1,3,0,0,2.1,3.3,3.7,2.1,3.25,3.7,2.11,3.29,3.92,2.1,3.4,3.6,2.12,3.34,3.87,2024-25
2024-08-18,Rennes,Lyon,3,0,H,2,0,H,22,16,8,2,13,12,7,7,2,1,0,0,2.35,3.5,2.9,2.25,3.5,3.1,2.47,3.38,3.01,2.25,3.4,3.1,2.35,3.45,3.21,2024-25
2024-08-23,Paris SG,Montpellier,6,0,H,2,0,H,21,6,10,3,9,16,10,2,1,4,0,0,1.25,7.0,10.0,1.24,6.75,10.5,1.25,6.94,10.85,1.22,7.0,11.0,1.23,7.15,12.02,2024-25
2024-08-24,Lyon,Monaco,0,2,A,0,0,D,2,15,1,4,10,7,0,6,0,0,0,1,2.5,3.8,2.6,2.45,3.7,2.65,2.62,3.73,2.61,2.63,3.8,2.45,2.79,3.73,2.49,2024-25
2024-08-24,Lille,Angers,2,0,H,1,0,H,11,5,6,2,9,17,3,2,1,2,0,0,1.36,4.75,9.0,1.35,4.8,9.25,1.33,4.72,8.77,1.33,4.75,9.5,1.36,4.96,10.48,2024-25
2024-08-24,St Etienne,Le Havre,0,2,A,0,0,D,18,14,5,5,11,9,2,4,3,3,0,0,2.1,3.4,3.5,2.05,3.4,3.6,2.11,3.45,3.71,1.95,3.4,3.9,2.04,3.42,4.09,2024-25
2024-08-25,Lens,Brest,2,0,H,2,0,H,22,10,11,2,8,6,5,2,0,0,1,0,1.8,3.7,4.5,1.78,3.7,4.4,1.81,3.71,4.69,1.85,3.5,4.33,1.9,3.56,4.48,2024-25
2024-08-25,Nantes,Auxerre,2,0,H,1,0,H,8,10,6,3,9,6,3,12,0,0,0,1,2.25,3.3,3.25,2.25,3.4,3.1,2.25,3.22,3.22,2.55,3.3,2.75,2.66,3.39,2.81,2024-25
2024-08-25,Nice,Toulouse,1,1,D,0,0,D,10,15,4,3,11,21,4,4,4,1,0,0,1.85,3.4,4.5,1.82,3.6,4.2,1.88,3.53,4.57,2.1,3.0,3.9,2.16,3.2,3.98,2024-25
2024-08-25,Strasbourg,Rennes,3,1,H,1,0,H,9,13,5,5,7,19,2,5,2,4,0,0,3.1,3.5,2.25,2.95,3.5,2.3,3.19,3.5,2.3,3.25,3.25,2.25,3.39,3.26,2.35,2024-25
2024-08-25,Marseille,Reims,2,2,D,1,0,H,16,12,10,3,10,13,2,4,1,1,0,0,1.53,4.5,5.5,1.57,4.33,5.25,1.56,4.47,5.84,1.36,5.25,8.0,1.38,5.44,8.88,2024-25
2024-08-30,Lyon,Strasbourg,4,3,H,1,1,D,22,14,13,7,10,6,9,2,3,2,0,0,1.85,3.75,4.0,1.85,3.75,3.9,1.89,3.83,4.18,2.05,3.6,3.4,2.12,3.64,3.56,2024-25
2024-08-31,Brest,St Etienne,4,0,H,2,0,H,17,3,7,0,12,28,7,2,0,5,0,0,1.8,3.8,4.33,1.8,3.7,4.33,1.85,3.83,4.28,1.73,4.1,4.5,1.76,3.91,4.81,2024-25
2024-08-31,Montpellier,Nantes,1,3,A,1,2,A,11,10,5,5,11,13,8,3,2,2,0,0,2.25,3.4,3.2,2.2,3.4,3.2,2.35,3.38,3.22,2.2,3.5,3.1,2.31,3.53,3.22,2024-25
2024-08-31,Toulouse,Marseille,1,3,A,0,2,A,4,11,2,5,10,12,2,3,4,2,1,0,3.8,3.8,1.9,3.7,3.6,1.95,4.09,3.74,1.91,3.0,3.7,2.2,3.16,3.62,2.3,2024-25
2024-09-01,Monaco,Lens,1,1,D,0,0,D,14,12,3,4,11,21,7,7,1,4,0,0,1.85,3.9,3.9,1.83,3.9,3.9,1.83,3.74,3.9,2.0,3.7,3.5,2.08,3.71,3.6,2024-25
2024-09-01,Angers,Nice,1,4,A,0,2,A,12,12,7,9,14,13,4,7,6,4,0,1,4.0,3.3,2.0,4.0,3.3,1.98,4.2,3.35,2.01,4.33,3.3,1.9,4.51,3.35,1.96,2024-25
2024-09-01,Le Havre,Auxerre,3,1,H,1,1,D,21,7,8,2,10,15,2,2,1,5,0,1,2.75,3.3,2.6,2.65,3.3,2.6,2.81,3.28,2.69,2.8,3.3,2.55,2.96,3.27,2.6,2024-25
2024-09-01,Reims,Rennes,2,1,H,1,1,D,11,13,7,5,9,12,3,5,2,1,0,0,2.9,3.5,2.38,2.85,3.5,2.37,2.94,3.29,2.37,3.2,3.5,2.2,3.36,3.51,2.24,2024-25
2024-09-01,Lille,Paris SG,1,3,A,0,2,A,10,10,4,7,7,5,3,1,3,2,0,0,3.9,3.8,1.85,3.8,3.6,1.93,4.31,3.74,1.86,4.2,3.9,1.75,4.53,3.94,1.8,2024-25
2024-09-13,St Etienne,Lille,1,0,H,1,0,H,10,17,5,4,12,10,2,7,1,1,0,0,5.5,3.6,1.7,4.75,3.6,1.75,5.22,3.78,1.72,5.25,3.6,1.7,5.4,3.67,1.73,2024-25
