FixtureId,MatchDate,HomeTeam,AwayTeam,Status,ApiFootballSeason
1214026,2025-05-04,Lyon,Lens,FT,2024
1214029,2025-05-04,Brest,Montpellier,FT,2024
1214034,2025-05-04,Auxerre,Le Havre,FT,2024
1214027,2025-05-04,Lille,Marseille,FT,2024
1214037,2025-05-10,Angers,Strasbourg,FT,2024
1214040,2025-05-10,Montpellier,Paris Saint Germain,FT,2024
1214043,2025-05-10,Monaco,Lyon,FT,2024
1214035,2025-05-10,Reims,Saint Etienne,FT,2024
1214039,2025-05-10,Rennes,Nice,FT,2024
1214041,2025-05-10,Toulouse,Lens,FT,2024
1214042,2025-05-10,Brest,Lille,FT,2024
1214036,2025-05-10,Auxerre,Nantes,FT,2024
1214038,2025-05-10,Le Havre,Marseille,FT,2024
1214048,2025-05-17,Lille,Reims,FT,2024
1214045,2025-05-17,Lyon,Angers,FT,2024
1214044,2025-05-17,Marseille,Rennes,FT,2024
1214050,2025-05-17,Nantes,Montpellier,FT,2024
1214046,2025-05-17,Nice,Brest,FT,2024
1214052,2025-05-17,Paris Saint Germain,Auxerre,FT,2024
1214049,2025-05-17,Strasbourg,Le Havre,FT,2024
1214051,2025-05-17,Lens,Monaco,FT,2024
1214047,2025-05-17,Saint Etienne,Toulouse,FT,2024
1375858,2025-05-21,Metz,Reims,FT,2024
1375859,2025-05-29,Reims,Metz,AET,2024
