MatchDate,TeamName
2025-09-27,Atlètic Sant Just
2025-09-27,Palma del Río
2025-09-27,Yuncos
2025-09-27,Negreira
2025-09-27,Atlético Calatayud
2025-09-27,Maracena
2025-09-27,Unión Deportiva Los Garres
2025-09-27,Alberite
2025-09-27,Betis CF
2025-09-27,Inter de Valdemoro
2025-09-27,CE Sant Jordi
2025-09-27,Atlético Melilla
2025-09-27,Campanario
2025-09-27,Textil Escudo
2025-09-27,Sporting Ceuta
2025-09-27,Manises CF
2025-09-27,Puerto De Vega
2025-09-27,Getxo
2025-09-27,Universitario FC
2025-09-27,Lourdes
2025-10-04,CE Sant Jordi
2025-10-04,Getxo
2025-10-04,Atlètic Sant Just
2025-10-04,Textil Escudo
2025-10-04,Inter de Valdemoro
2025-10-04,Sporting Ceuta
2025-10-04,Campanario
2025-10-04,Puerto De Vega
2025-10-04,Manises CF
2025-10-04,Atlético Melilla
2025-10-04,Negreira
2025-10-04,Alberite
2025-10-04,Betis CF
2025-10-04,Atlético Calatayud
2025-10-04,Palma del Río
2025-10-04,Unión Deportiva Los Garres
2025-10-04,Yuncos
2025-10-04,Maracena
2025-10-04,Universitario FC
2025-10-04,Lourdes
2025-10-28,Las Palmas
2025-10-28,Huesca
2025-10-28,Tenerife
2025-10-28,Albacete
2025-10-28,Cultural Leonesa
2025-10-28,Talavera
2025-10-28,Valencia
2025-10-28,Getafe
2025-10-28,Cacereno
2025-10-28,Cádiz
2025-10-28,Racing Santander
2025-10-28,Racing Ferrol
2025-10-28,Real Oviedo
2025-10-28,Girona
2025-10-28,Burgos
2025-10-28,Granada
2025-10-28,Real Sociedad
2025-10-28,Roda
2025-10-28,Rayo Majadahonda
2025-10-28,Tropezón
2025-10-28,UD San Fernando
2025-10-28,Alcalá
2025-10-28,Utebo
2025-10-28,CD Extremadura
2025-10-28,Negreira
2025-10-28,Toledo
2025-10-28,Sevilla
2025-10-28,Maracena
2025-10-28,Inter de Valdemoro
2025-10-28,CD Guadalajara
2025-10-28,UCAM Murcia
2025-10-28,SD Logroñés
2025-10-28,Langreo
2025-10-28,Ourense CF
2025-10-28,Constancia
2025-10-28,Atlético Tordesillas
2025-10-29,UD Ibiza
2025-10-29,Pontevedra
2025-10-29,Villarreal
2025-10-29,Mallorca
2025-10-29,Tarazona
2025-10-29,Juventud Torremolinos
2025-10-29,Teruel
2025-10-29,Real Valladolid
2025-10-29,Arenas Club
2025-10-29,Eibar
2025-10-29,Almería
2025-10-29,Córdoba
2025-10-29,CD Sabadell
2025-10-29,Mérida
2025-10-29,Leganés
2025-10-29,Mirandés
2025-10-29,Eldense
2025-10-29,Ceuta
2025-10-29,Elche
2025-10-29,Real Zaragoza
2025-10-29,Osasuna
2025-10-29,Sporting Gijón
2025-10-29,Rayo Vallecano
2025-10-29,CE Europa
2025-10-29,La Unión Atlético
2025-10-29,CD Ebro
2025-10-29,FC Cartagena
2025-10-29,Poblense
2025-10-29,Reddis
2025-10-29,UD Ourense
2025-10-29,Lucena CF
2025-10-29,Quintanar del Rey
2025-10-29,Real Jaen CF
2025-10-29,Yuncos
2025-10-29,Atlètic Sant Just
2025-10-29,Unión Deportiva Los Garres
2025-10-29,CE Sant Jordi
2025-10-29,Mutilvera
2025-10-29,Sant Andreu
2025-10-29,Atletico Astorga
2025-10-29,Azuaga
2025-10-29,Caudal Deportivo
2025-10-29,Puente Genil
2025-10-29,CD Artistico Navalcarnero
2025-10-29,Cieza
2025-10-29,Torrent
2025-10-29,Lorca Deportiva
2025-10-29,Naxara
2025-10-29,Numancia
2025-10-29,Portugalete
2025-10-30,Atlètic Lleida
2025-10-30,Orihuela
2025-10-30,Puerto De Vega
2025-10-30,Egüés
2025-10-30,Atlético Baleares
2025-10-30,Sámano
2025-10-30,Palma del Río
2025-10-30,Club Atlético Antoniano
2025-10-30,CD Estepona
2025-10-30,UD Logroñés
