MatchDate,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Home_xG,Away_xG
2023-08-11,Nice,Lille,1.0,1.0,0.93,1.55
2023-08-12,Marseille,Reims,2.0,1.0,1.24,1.24
2023-08-12,Paris SG,Lorient,0.0,0.0,1.24,0.0
2023-08-13,Brest,Lens,3.0,2.0,2.48,0.62
2023-08-13,Clermont,Monaco,2.0,4.0,2.17,2.48
2023-08-13,Montpellier,Le Havre,2.0,2.0,1.55,1.24
2023-08-13,Nantes,Toulouse,1.0,2.0,1.24,1.55
2023-08-13,Rennes,Metz,5.0,1.0,4.34,0.93
2023-08-13,Strasbourg,Lyon,2.0,1.0,0.62,2.17
2023-08-18,Metz,Marseille,2.0,2.0,1.55,1.55
2023-08-19,Lyon,Montpellier,1.0,4.0,0.93,2.48
2023-08-19,Toulouse,Paris SG,1.0,1.0,0.62,0.93
2023-08-20,Lille,Nantes,2.0,0.0,2.48,1.24
2023-08-20,Le Havre,Brest,1.0,2.0,2.17,1.55
2023-08-20,Lorient,Nice,1.0,1.0,0.62,2.48
2023-08-20,Reims,Clermont,2.0,0.0,1.24,1.24
2023-08-20,Monaco,Strasbourg,3.0,0.0,1.24,0.31
2023-08-20,Lens,Rennes,1.0,1.0,1.24,1.55
2023-08-25,Nantes,Monaco,3.0,3.0,0.93,3.1
2023-08-26,Marseille,Brest,2.0,0.0,1.86,2.17
2023-08-26,Paris SG,Lens,3.0,1.0,2.17,1.24
2023-08-27,Rennes,Le Havre,2.0,2.0,2.48,0.93
2023-08-27,Clermont,Metz,0.0,1.0,1.24,1.55
2023-08-27,Montpellier,Reims,1.0,3.0,0.93,1.86
2023-08-27,Strasbourg,Toulouse,2.0,0.0,0.93,0.31
2023-08-27,Lorient,Lille,4.0,1.0,1.86,2.17
2023-08-27,Nice,Lyon,0.0,0.0,1.24,0.31
2023-09-01,Nantes,Marseille,1.0,1.0,0.62,2.79
2023-09-02,Brest,Rennes,0.0,0.0,0.62,0.93
2023-09-02,Monaco,Lens,3.0,0.0,1.86,0.31
2023-09-03,Toulouse,Clermont,2.0,2.0,1.55,0.93
2023-09-03,Le Havre,Lorient,3.0,0.0,1.86,0.62
2023-09-03,Lille,Montpellier,1.0,0.0,1.86,1.55
