Date,HomeTeam,WeatherDesc,TempMaxC,PrecipMM,WindKmh
2026-08-28,Lille,Rainy,22.2,2.38,24.5
2026-08-29,Strasbourg,Rainy,25.8,0.0,15.0
2026-08-29,Lorient,Rainy,21.5,1.9,25.5
2026-08-29,Lyon,Foggy,26.0,0.0,9.4
2026-08-29,Auxerre,Partly cloudy,21.2,1.2,22.5
2026-08-29,Brest,Rainy,21.1,1.8,32.9
2026-08-30,Paris FC,N/A,,,
2026-08-30,Stade Rennais FC 1901,N/A,,,
2026-08-30,Monaco,Partly cloudy,27.8,0.0,11.2
2026-09-03,Toulouse,Clear,28.2,0.0,10.0
2026-09-04,Lyon,Clear,25.7,0.0,8.2
2026-09-04,Paris SG,Clear,26.1,0.0,5.3
2026-09-05,Racing Club de Lens,N/A,,,
2026-09-05,Le Havre,N/A,,,
2026-09-05,Nice,N/A,,,
2026-09-06,ES Troyes AC,N/A,,,
2026-09-06,Angers,N/A,,,
2026-09-06,Marseille,Partly cloudy,27.7,0.0,10.6
2026-09-11,Stade Rennais FC 1901,N/A,,,
2026-09-12,Strasbourg,N/A,,,
2026-09-12,Lorient,N/A,,,
2026-09-12,Auxerre,N/A,,,
2026-09-12,Le Havre,N/A,,,
2026-09-12,Paris FC,N/A,,,
2026-09-13,Lille,N/A,,,
2026-09-13,Le Mans FC,N/A,,,
2026-09-13,Brest,N/A,,,
2026-09-18,Auxerre,N/A,,,
2026-09-18,Le Mans FC,N/A,,,
2026-09-18,Nice,N/A,,,
2026-09-18,Paris FC,N/A,,,
2026-09-18,Toulouse,N/A,,,
2026-09-18,Angers,N/A,,,
2026-09-18,Monaco,N/A,,,
2026-09-18,Lyon,N/A,,,
2026-09-20,Marseille,N/A,,,
2026-10-09,Brest,N/A,,,
2026-10-09,Stade Rennais FC 1901,N/A,,,
2026-10-09,Lorient,N/A,,,
2026-10-09,Racing Club de Lens,N/A,,,
2026-10-09,Nice,N/A,,,
2026-10-09,ES Troyes AC,N/A,,,
2026-10-09,Paris SG,N/A,,,
2026-10-09,Monaco,N/A,,,
2026-10-09,Lille,N/A,,,
2026-10-16,Lorient,N/A,,,
2026-10-16,Paris FC,N/A,,,
2026-10-16,ES Troyes AC,N/A,,,
2026-10-16,Lille,N/A,,,
2026-10-16,Le Mans FC,N/A,,,
2026-10-16,Strasbourg,N/A,,,
2026-10-16,Le Havre,N/A,,,
2026-10-16,Angers,N/A,,,
2026-10-16,Lyon,N/A,,,
2026-10-23,Marseille,N/A,,,
2026-10-23,Monaco,N/A,,,
2026-10-23,Stade Rennais FC 1901,N/A,,,
2026-10-23,Racing Club de Lens,N/A,,,
2026-10-23,Angers,N/A,,,
2026-10-23,Brest,N/A,,,
2026-10-23,Toulouse,N/A,,,
2026-10-23,Auxerre,N/A,,,
2026-10-25,Paris SG,N/A,,,
2026-10-30,Lille,N/A,,,
2026-10-30,Lyon,N/A,,,
2026-10-30,Lorient,N/A,,,
2026-10-30,Paris FC,N/A,,,
2026-10-30,ES Troyes AC,N/A,,,
2026-10-30,Le Havre,N/A,,,
2026-10-30,Marseille,N/A,,,
2026-10-30,Nice,N/A,,,
2026-10-30,Strasbourg,N/A,,,
2026-11-06,Le Mans FC,N/A,,,
2026-11-06,Brest,N/A,,,
2026-11-06,Le Havre,N/A,,,
2026-11-06,Angers,N/A,,,
2026-11-06,Paris SG,N/A,,,
2026-11-06,Stade Rennais FC 1901,N/A,,,
2026-11-06,Auxerre,N/A,,,
2026-11-06,Toulouse,N/A,,,
2026-11-07,Racing Club de Lens,N/A,,,
2026-11-20,Monaco,N/A,,,
2026-11-20,ES Troyes AC,N/A,,,
2026-11-20,Racing Club de Lens,N/A,,,
2026-11-20,Lille,N/A,,,
2026-11-20,Paris FC,N/A,,,
2026-11-20,Lorient,N/A,,,
2026-11-20,Strasbourg,N/A,,,
2026-11-20,Nice,N/A,,,
2026-11-20,Marseille,N/A,,,
2026-11-27,Brest,N/A,,,
