Team,SquadPlayers,AverageAge,Goalkeepers,Defenders,Midfielders,Attackers,SquadFetchedAt
Angers,29,23.62,3,12,7,7,2026-05-30T02:32:56+00:00
Auxerre,28,23.54,3,10,7,8,2026-05-30T02:32:56+00:00
Brest,25,24.12,3,8,7,7,2026-05-30T02:32:56+00:00
Le Havre,33,23.36,4,11,9,9,2026-05-30T02:32:56+00:00
Lens,29,24.97,4,8,8,9,2026-05-30T02:32:56+00:00
Lille,33,23.85,4,10,7,12,2026-05-30T02:32:56+00:00
Lyon,33,23.67,5,10,12,6,2026-05-30T02:32:56+00:00
Marseille,30,24.73,4,8,12,6,2026-05-30T02:32:56+00:00
Metz,29,24.46,4,10,6,9,2026-05-30T02:32:56+00:00
Monaco,31,24.23,4,9,11,7,2026-05-30T02:32:56+00:00
Montpellier,27,22.67,4,8,9,6,2026-05-30T02:32:56+00:00
Nantes,33,25.42,3,14,9,7,2026-05-30T02:32:56+00:00
Nice,38,23.16,4,11,14,9,2026-05-30T02:32:56+00:00
Paris Saint Germain,34,21.65,6,11,8,9,2026-05-30T02:32:56+00:00
Reims,26,22.38,2,8,8,8,2026-05-30T02:32:56+00:00
Rennes,31,23.03,4,10,7,10,2026-05-30T02:32:56+00:00
Saint Etienne,30,23.37,3,10,13,4,2026-05-30T02:32:56+00:00
Strasbourg,34,20.91,4,8,16,6,2026-05-30T02:32:56+00:00
Toulouse,31,22.23,4,11,8,8,2026-05-30T02:32:56+00:00
