Date,Time,Matchday,HomeTeam,AwayTeam,Status
2026-09-05,11:15 AM ET,3,Racing Club de Lens,Lorient,TIMED
2026-09-05,02:45 PM ET,3,Le Havre,Brest,TIMED
2026-09-05,02:45 PM ET,3,Nice,Le Mans FC,TIMED
2026-09-06,09:00 AM ET,3,ES Troyes AC,Strasbourg,TIMED
2026-09-06,11:15 AM ET,3,Angers,Stade Rennais FC 1901,TIMED
2026-09-06,02:45 PM ET,3,Marseille,Paris FC,TIMED
2026-09-11,02:45 PM ET,4,Stade Rennais FC 1901,Marseille,TIMED
2026-09-12,11:15 AM ET,4,Strasbourg,Monaco,TIMED
2026-09-12,02:45 PM ET,4,Lorient,Toulouse,TIMED
2026-09-12,02:45 PM ET,4,Auxerre,Nice,TIMED
2026-09-12,02:45 PM ET,4,Le Havre,Angers,TIMED
2026-09-12,02:45 PM ET,4,Paris FC,Lyon,TIMED
2026-09-13,09:00 AM ET,4,Lille,ES Troyes AC,TIMED
2026-09-13,11:15 AM ET,4,Le Mans FC,Racing Club de Lens,TIMED
2026-09-13,02:45 PM ET,4,Brest,Paris SG,TIMED
2026-09-18,02:45 PM ET,5,Monaco,Racing Club de Lens,TIMED
2026-09-19,11:15 AM ET,5,Paris FC,Strasbourg,TIMED
2026-09-19,02:45 PM ET,5,Le Mans FC,Lorient,TIMED
2026-09-19,02:45 PM ET,5,Toulouse,Le Havre,TIMED
2026-09-19,02:45 PM ET,5,Angers,ES Troyes AC,TIMED
2026-09-19,02:45 PM ET,5,Lyon,Stade Rennais FC 1901,TIMED
2026-09-20,09:00 AM ET,5,Auxerre,Brest,TIMED
2026-09-20,11:15 AM ET,5,Nice,Lille,TIMED
2026-09-20,02:45 PM ET,5,Marseille,Paris SG,TIMED
2026-10-09,02:45 PM ET,6,Racing Club de Lens,Lyon,TIMED
2026-10-10,11:15 AM ET,6,Lille,Le Havre,TIMED
2026-10-10,02:45 PM ET,6,Brest,Angers,TIMED
2026-10-10,02:45 PM ET,6,Lorient,Paris FC,TIMED
2026-10-10,02:45 PM ET,6,Paris SG,Le Mans FC,TIMED
2026-10-10,02:45 PM ET,6,Monaco,Toulouse,TIMED
2026-10-11,09:00 AM ET,6,Nice,Strasbourg,TIMED
2026-10-11,11:15 AM ET,6,Stade Rennais FC 1901,Auxerre,TIMED
2026-10-11,02:45 PM ET,6,ES Troyes AC,Marseille,TIMED
2026-10-16,02:45 PM ET,7,Le Mans FC,Toulouse,TIMED
2026-10-17,11:15 AM ET,7,Strasbourg,Paris SG,TIMED
2026-10-17,02:45 PM ET,7,ES Troyes AC,Racing Club de Lens,TIMED
2026-10-17,02:45 PM ET,7,Lille,Brest,TIMED
2026-10-18,09:00 AM ET,7,Angers,Marseille,TIMED
2026-10-18,11:15 AM ET,7,Lorient,Monaco,TIMED
2026-10-18,11:15 AM ET,7,Paris FC,Stade Rennais FC 1901,TIMED
2026-10-18,11:15 AM ET,7,Le Havre,Auxerre,TIMED
2026-10-18,02:45 PM ET,7,Lyon,Nice,TIMED
2026-10-23,02:45 PM ET,8,Brest,Nice,TIMED
2026-10-24,11:15 AM ET,8,Toulouse,ES Troyes AC,TIMED
2026-10-24,02:45 PM ET,8,Racing Club de Lens,Paris FC,TIMED
2026-10-25,10:00 AM ET,8,Monaco,Lille,TIMED
2026-10-25,12:15 PM ET,8,Marseille,Le Havre,TIMED
2026-10-25,12:15 PM ET,8,Stade Rennais FC 1901,Strasbourg,TIMED
2026-10-25,12:15 PM ET,8,Angers,Lorient,TIMED
2026-10-25,12:15 PM ET,8,Auxerre,Le Mans FC,TIMED
2026-10-25,03:45 PM ET,8,Paris SG,Lyon,TIMED
2026-10-30,02:00 PM ET,9,Le Havre,Paris SG,TIMED
2026-10-30,04:05 PM ET,9,Lille,Racing Club de Lens,TIMED
2026-10-31,12:15 PM ET,9,Nice,Stade Rennais FC 1901,TIMED
2026-10-31,03:45 PM ET,9,Lyon,Angers,TIMED
2026-10-31,03:45 PM ET,9,Lorient,Brest,TIMED
2026-10-31,03:45 PM ET,9,ES Troyes AC,Le Mans FC,TIMED
2026-11-01,09:00 AM ET,9,Strasbourg,Auxerre,TIMED
2026-11-01,11:15 AM ET,9,Paris FC,Monaco,TIMED
2026-11-01,02:45 PM ET,9,Marseille,Toulouse,TIMED
2026-11-06,07:00 PM ET,10,Le Mans FC,Monaco,SCHEDULED
2026-11-06,07:00 PM ET,10,Brest,Lyon,SCHEDULED
2026-11-06,07:00 PM ET,10,Le Havre,Lorient,SCHEDULED
2026-11-06,07:00 PM ET,10,Angers,Nice,SCHEDULED
2026-11-06,07:00 PM ET,10,Paris SG,ES Troyes AC,SCHEDULED
2026-11-06,07:00 PM ET,10,Stade Rennais FC 1901,Lille,SCHEDULED
2026-11-06,07:00 PM ET,10,Auxerre,Paris FC,SCHEDULED
2026-11-06,07:00 PM ET,10,Toulouse,Strasbourg,SCHEDULED
2026-11-07,02:45 PM ET,10,Racing Club de Lens,Marseille,TIMED
2026-11-20,07:00 PM ET,11,Monaco,Auxerre,SCHEDULED
2026-11-20,07:00 PM ET,11,ES Troyes AC,Le Havre,SCHEDULED
2026-11-20,07:00 PM ET,11,Racing Club de Lens,Toulouse,SCHEDULED
2026-11-20,07:00 PM ET,11,Lille,Lyon,SCHEDULED
2026-11-20,07:00 PM ET,11,Paris FC,Angers,SCHEDULED
2026-11-20,07:00 PM ET,11,Lorient,Stade Rennais FC 1901,SCHEDULED
2026-11-20,07:00 PM ET,11,Strasbourg,Brest,SCHEDULED
2026-11-20,07:00 PM ET,11,Nice,Paris SG,SCHEDULED
2026-11-20,07:00 PM ET,11,Marseille,Le Mans FC,SCHEDULED
2026-11-27,07:00 PM ET,12,Brest,Paris FC,SCHEDULED
2026-11-27,07:00 PM ET,12,Le Mans FC,Lille,SCHEDULED
2026-11-27,07:00 PM ET,12,Toulouse,Stade Rennais FC 1901,SCHEDULED
2026-11-27,07:00 PM ET,12,Auxerre,Marseille,SCHEDULED
2026-11-27,07:00 PM ET,12,Nice,ES Troyes AC,SCHEDULED
2026-11-27,07:00 PM ET,12,Angers,Racing Club de Lens,SCHEDULED
2026-11-27,07:00 PM ET,12,Le Havre,Strasbourg,SCHEDULED
2026-11-27,07:00 PM ET,12,Paris SG,Lorient,SCHEDULED
2026-11-27,07:00 PM ET,12,Lyon,Monaco,SCHEDULED
2026-12-04,07:00 PM ET,13,ES Troyes AC,Lyon,SCHEDULED
2026-12-04,07:00 PM ET,13,Monaco,Angers,SCHEDULED
2026-12-04,07:00 PM ET,13,Racing Club de Lens,Le Havre,SCHEDULED
2026-12-04,07:00 PM ET,13,Lille,Auxerre,SCHEDULED
2026-12-04,07:00 PM ET,13,Marseille,Nice,SCHEDULED
2026-12-04,07:00 PM ET,13,Stade Rennais FC 1901,Brest,SCHEDULED
2026-12-04,07:00 PM ET,13,Toulouse,Paris SG,SCHEDULED
2026-12-04,07:00 PM ET,13,Strasbourg,Lorient,SCHEDULED
2026-12-04,07:00 PM ET,13,Paris FC,Le Mans FC,SCHEDULED
2026-12-11,07:00 PM ET,14,Nice,Racing Club de Lens,SCHEDULED
2026-12-11,07:00 PM ET,14,Paris SG,Paris FC,SCHEDULED
2026-12-11,07:00 PM ET,14,Angers,Strasbourg,SCHEDULED
2026-12-11,07:00 PM ET,14,Brest,ES Troyes AC,SCHEDULED
2026-12-11,07:00 PM ET,14,Le Havre,Le Mans FC,SCHEDULED
2026-12-11,07:00 PM ET,14,Stade Rennais FC 1901,Monaco,SCHEDULED
2026-12-11,07:00 PM ET,14,Lorient,Lille,SCHEDULED
2026-12-11,07:00 PM ET,14,Auxerre,Toulouse,SCHEDULED
2026-12-13,02:45 PM ET,14,Lyon,Marseille,TIMED
2027-01-01,07:00 PM ET,15,Le Mans FC,Lyon,SCHEDULED
2027-01-01,07:00 PM ET,15,Brest,Marseille,SCHEDULED
2027-01-01,07:00 PM ET,15,ES Troyes AC,Stade Rennais FC 1901,SCHEDULED
2027-01-01,07:00 PM ET,15,Toulouse,Angers,SCHEDULED
2027-01-01,07:00 PM ET,15,Monaco,Nice,SCHEDULED
2027-01-01,07:00 PM ET,15,Paris FC,Le Havre,SCHEDULED
2027-01-01,07:00 PM ET,15,Lorient,Auxerre,SCHEDULED
2027-01-01,07:00 PM ET,15,Lille,Strasbourg,SCHEDULED
2027-01-03,02:45 PM ET,15,Racing Club de Lens,Paris SG,TIMED
2027-01-15,07:00 PM ET,16,Marseille,Lille,SCHEDULED
